H	2	1024	"2024-09-19 16:49:51"	300	6.58
0	0
1	14
2	10
3	14
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	1
12	2
13	4
14	18
15	62
16	149
17	262
18	362
19	528
20	854
21	1325
22	1772
23	2059
24	2178
25	2145
26	2267
27	2258
28	2248
29	2235
30	2370
31	2363
32	2325
33	2292
34	2397
35	2473
36	2560
37	2503
38	2237
39	2060
40	2574
41	4038
42	4425
43	3605
44	2679
45	2365
46	2502
47	2802
48	2828
49	3031
50	3011
51	3039
52	3049
53	3126
54	2983
55	2927
56	3062
57	3068
58	3082
59	2994
60	2970
61	2964
62	2877
63	3000
64	2927
65	2933
66	2887
67	2973
68	2877
69	2925
70	2915
71	2993
72	2949
73	3023
74	3011
75	3092
76	3079
77	3014
78	3056
79	3099
80	3108
81	3111
82	3251
83	3265
84	3407
85	3544
86	3579
87	3748
88	3817
89	4008
90	3984
91	4041
92	4032
93	4081
94	4143
95	3998
96	3836
97	3699
98	3503
99	3479
100	3591
101	3580
102	3602
103	3711
104	3835
105	3729
106	3747
107	3673
108	3578
109	3471
110	3296
111	3142
112	3209
113	3099
114	2983
115	3083
116	3014
117	2921
118	2880
119	2932
120	2934
121	2911
122	2813
123	2903
124	2880
125	2883
126	2799
127	2705
128	2859
129	2787
130	2687
131	2774
132	2680
133	2720
134	2677
135	2605
136	2613
137	2603
138	2627
139	2551
140	2642
141	2433
142	2571
143	2522
144	2514
145	2423
146	2483
147	2496
148	2449
149	2452
150	2524
151	2468
152	2554
153	2419
154	2547
155	2507
156	2345
157	2442
158	2337
159	2402
160	2415
161	2362
162	2456
163	2326
164	2363
165	2402
166	2364
167	2283
168	2388
169	2363
170	2297
171	2460
172	2395
173	2310
174	2348
175	2340
176	2312
177	2395
178	2394
179	2357
180	2352
181	2301
182	2186
183	2312
184	2263
185	2278
186	2371
187	2298
188	2268
189	2331
190	2343
191	2340
192	2373
193	2273
194	2282
195	2343
196	2273
197	2234
198	2215
199	2220
200	2216
201	2249
202	2315
203	2200
204	2379
205	2329
206	2262
207	2262
208	2269
209	2284
210	2257
211	2362
212	2307
213	2329
214	2323
215	2290
216	2247
217	2207
218	2309
219	2277
220	2278
221	2391
222	2250
223	2252
224	2311
225	2309
226	2253
227	2286
228	2262
229	2246
230	2318
231	2305
232	2321
233	2350
234	2328
235	2267
236	2344
237	2312
238	2344
239	2345
240	2332
241	2359
242	2351
243	2351
244	2360
245	2348
246	2419
247	2385
248	2388
