H	2	1024	"2024-10-14 14:29:45"	300	7.08
0	0
1	19
2	21
3	17
4	0
5	0
6	0
7	0
8	0
9	0
10	0
11	2
12	3
13	4
14	20
15	70
16	168
17	232
18	316
19	499
20	815
21	1168
22	1584
23	1751
24	1817
25	1864
26	1951
27	1888
28	1981
29	1957
30	1951
31	1963
32	1967
33	1942
34	2063
35	2112
36	1949
37	1922
38	1711
39	1853
40	2859
41	3844
42	3259
43	2607
44	2088
45	2067
46	2220
47	2372
48	2480
49	2425
50	2528
51	2638
52	2656
53	2638
54	2568
55	2530
56	2618
57	2454
58	2637
59	2437
60	2497
61	2435
62	2489
63	2438
64	2424
65	2514
66	2502
67	2449
68	2538
69	2544
70	2565
71	2619
72	2543
73	2610
74	2610
75	2605
76	2646
77	2611
78	2567
79	2563
80	2534
81	2698
82	2615
83	2565
84	2634
85	2612
86	2707
87	2682
88	2624
89	2665
90	2711
91	2718
92	2826
93	2799
94	2739
95	2828
96	2864
97	2924
98	2916
99	2910
100	3065
101	3158
102	3428
103	3592
104	3816
105	3896
106	3964
107	3899
108	4016
109	3710
110	3706
111	3461
112	3311
113	3322
114	3315
115	3234
116	3119
117	3195
118	3062
119	2918
120	2911
121	2925
122	2789
123	2809
124	2830
125	2790
126	2725
127	2679
128	2758
129	2716
130	2630
131	2630
132	2525
133	2586
134	2635
135	2633
136	2682
137	2469
138	2549
139	2464
140	2498
141	2443
142	2404
143	2565
144	2524
145	2445
146	2409
147	2365
148	2396
149	2371
150	2372
151	2285
152	2237
153	2325
154	2204
155	2313
156	2268
157	2241
158	2272
159	2268
160	2260
161	2181
162	2155
163	2228
164	2158
165	2253
166	2230
167	2246
168	2144
169	2175
170	2168
171	2171
172	2195
173	2119
174	2096
175	2158
176	2287
177	2201
178	2096
179	2134
180	2180
181	2109
182	2096
183	2013
184	2139
185	2133
186	2090
187	2114
188	2052
189	2134
190	2099
191	2107
192	2014
193	2022
194	1964
195	2063
196	1984
197	1995
198	2046
199	2009
200	2126
201	1999
202	2040
203	1941
204	1950
205	2043
206	1984
207	1988
208	2020
209	1975
210	1993
211	1924
212	2051
213	1987
214	2050
215	1879
216	1970
217	2004
218	1941
219	1997
220	1919
221	2003
222	2005
223	1937
224	1955
225	1931
226	1921
227	1917
228	2017
229	2062
230	2003
231	1976
232	2010
233	2020
234	2011
235	1936
236	1931
237	1878
238	2021
239	2038
240	1868
241	1955
242	1936
243	1976
244	2054
245	1920
246	1977
247	1930
248	2050
249	1854
250	1892
251	1960
252	1944
253	2020
254	2037
255	1991
256	2003
257	2039
258	2031
259	1906
260	1999
261	1997
262	1977
263	1987
264	2044
265	1904
266	2056
267	1982
268	1981
269	1956
270	1985
271	2051
272	2050
273	2034
274	2028
275	2053
276	2093
277	2002
278	2080
279	2013
280	2060
281	2126
282	2159
283	2082
284	2107
285	2075
286	2144
287	2011
288	2183
289	2149
290	2109
291	2151
292	2253
293	2121
294	2172
295	2215
296	2255
297	2186
298	2231
299	2150
300	2172
301	2166
302	2100
303	2086
304	2115
305	2177
306	2059
307	2064
308	2119
309	2129
310	2077
311	2093
312	2049
313	2086
314	2051
315	2111
316	2135
317	2016
318	2135
319	2107
320	2173
321	2136
322	2126
323	2162
324	2116
325	2122
326	2118
327	2125
328	2186
329	2122
330	2215
331	2152
332	2119
333	2115
334	2157
335	2123
336	2167
337	2134
338	2217
339	2141
340	2211
341	2259
342	2203
343	2202
344	2304
345	2226
346	2254
347	2325
348	2197
349	2268
350	2286
351	2357
352	2293
353	2213
354	2282
355	2157
356	2274
357	2251
358	2399
359	2271
360	2357
361	2368
362	2326
363	2359
364	2372
365	2345
366	2333
367	2337
368	2439
369	2423
370	2359
371	2455
372	2503
373	2561
374	2433
375	2387
376	2468
377	2498
378	2454
379	2436
380	2477
381	2479
382	2547
